,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Goal_diff
83,2019-10-06,14:00 (09:00),Premier League,Matchweek 8,Sun,Home,L,0.0,2.0,Wolves,1.4,1.0,75.0,David Silva,4-2-3-1,Craig Pawson,18,2,11.1,0.0,0.0,18.7,2.0,0,0,season 3,-2.0
84,2019-10-19,17:30 (12:30),Premier League,Matchweek 9,Sat,Away,W,2.0,0.0,Crystal Palace,3.5,0.9,71.0,David Silva,4-3-3-0,Anthony Taylor,21,10,47.6,0.1,0.2,13.4,0.0,0,0,season 3,2.0
85,2019-10-26,12:30 (07:30),Premier League,Matchweek 10,Sat,Home,W,3.0,0.0,Aston Villa,2.9,1.0,63.0,David Silva,4-3-3-0,Graham Scott,26,9,34.6,0.12,0.33,15.1,0.0,0,0,season 3,3.0
86,2019-11-02,15:00 (11:00),Premier League,Matchweek 11,Sat,Home,W,2.0,1.0,Southampton,2.9,0.9,75.0,David Silva,4-3-3-0,Lee Mason,26,4,15.4,0.08,0.5,15.6,1.0,0,0,season 3,1.0
87,2019-11-10,16:30 (11:30),Premier League,Matchweek 12,Sun,Away,L,1.0,3.0,Liverpool,1.3,1.1,55.0,Fernandinho,4-2-3-1,Michael Oliver,18,3,16.7,0.06,0.33,17.3,0.0,0,0,season 3,-2.0
88,2019-11-23,17:30 (12:30),Premier League,Matchweek 13,Sat,Home,W,2.0,1.0,Chelsea,1.0,0.9,47.0,David Silva,4-3-3-0,Martin Atkinson,15,4,26.7,0.13,0.5,17.9,0.0,0,0,season 3,1.0
89,2019-11-30,12:30 (07:30),Premier League,Matchweek 14,Sat,Away,D,2.0,2.0,Newcastle Utd,2.4,0.3,75.0,David Silva,4-3-3-0,Chris Kavanagh,24,9,37.5,0.08,0.22,16.6,0.0,0,0,season 3,0.0
90,2019-12-03,20:15 (15:15),Premier League,Matchweek 15,Tue,Away,W,4.0,1.0,Burnley,2.2,0.6,75.0,David Silva,4-3-3-0,Jonathan Moss,17,8,47.1,0.24,0.5,17.9,0.0,0,0,season 3,3.0
91,2019-12-07,17:30 (12:30),Premier League,Matchweek 16,Sat,Home,L,1.0,2.0,Manchester Utd,2.2,1.4,72.0,David Silva,4-3-3-0,Anthony Taylor,23,5,21.7,0.04,0.2,14.7,2.0,0,0,season 3,-1.0
92,2019-12-15,16:30 (11:30),Premier League,Matchweek 17,Sun,Away,W,3.0,0.0,Arsenal,1.3,0.5,57.0,Fernandinho,4-2-3-1,Paul Tierney,14,7,50.0,0.21,0.43,18.9,0.0,0,0,season 3,3.0
