,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Victory,Opponent,Formation
79,Home,W,4.0,0.0,Brighton,1.9,0.9,53.0,4-3-3-0,15,6,40.0,0.27,0.67,15.4,1.0,0,0,1,0.9090843543184226,0.7916666666666666
80,Away,L,2.0,3.0,Norwich City,2.3,1.5,68.0,4-2-3-1,25,8,32.0,0.08,0.25,15.1,0.0,0,0,0,0.7506974393114348,0.6666666666666667
81,Home,W,8.0,0.0,Watford,5.9,0.4,68.0,4-3-3-0,27,10,37.0,0.26,0.7,14.9,2.0,1,1,1,0.9997856350130823,0.7916666666666666
82,Away,W,3.0,1.0,Everton,2.8,2.4,63.0,4-3-3-0,19,8,42.1,0.16,0.38,14.7,1.0,0,0,1,0.8999833054397195,0.7916666666666666
83,Home,L,0.0,2.0,Wolves,1.4,1.0,75.0,4-2-3-1,18,2,11.1,0.0,0.0,18.7,2.0,0,0,0,0.6666995441304379,0.6666666666666667
84,Away,W,2.0,0.0,Crystal Palace,3.5,0.9,71.0,4-3-3-0,21,10,47.6,0.1,0.2,13.4,0.0,0,0,1,0.5454644989979508,0.7916666666666666
85,Home,W,3.0,0.0,Aston Villa,2.9,1.0,63.0,4-3-3-0,26,9,34.6,0.12,0.33,15.1,0.0,0,0,1,0.8569142953384622,0.7916666666666666
86,Home,W,2.0,1.0,Southampton,2.9,0.9,75.0,4-3-3-0,26,4,15.4,0.08,0.5,15.6,1.0,0,0,1,0.7272744266581868,0.7916666666666666
87,Away,L,1.0,3.0,Liverpool,1.3,1.1,55.0,4-2-3-1,18,3,16.7,0.06,0.33,17.3,0.0,0,0,0,0.3636545713377149,0.6666666666666667
88,Home,W,2.0,1.0,Chelsea,1.0,0.9,47.0,4-3-3-0,15,4,26.7,0.13,0.5,17.9,0.0,0,0,1,0.7000079843549167,0.7916666666666666
89,Away,D,2.0,2.0,Newcastle Utd,2.4,0.3,75.0,4-3-3-0,24,9,37.5,0.08,0.22,16.6,0.0,0,0,0,0.7272744266581868,0.7916666666666666
90,Away,W,4.0,1.0,Burnley,2.2,0.6,75.0,4-3-3-0,17,8,47.1,0.24,0.5,17.9,0.0,0,0,1,0.8999833054397195,0.7916666666666666
91,Home,L,1.0,2.0,Manchester Utd,2.2,1.4,72.0,4-3-3-0,23,5,21.7,0.04,0.2,14.7,2.0,0,0,0,0.5454644989979508,0.7916666666666666
92,Away,W,3.0,0.0,Arsenal,1.3,0.5,57.0,4-2-3-1,14,7,50.0,0.21,0.43,18.9,0.0,0,0,1,0.9999709659821209,0.6666666666666667
93,Home,W,3.0,1.0,Leicester City,3.3,1.1,62.0,4-2-3-1,22,11,50.0,0.09,0.18,15.7,1.0,1,1,1,0.8181793904883048,0.6666666666666667
94,Away,L,2.0,3.0,Wolves,1.5,2.6,38.0,4-2-3-1,6,2,33.3,0.33,1.0,19.0,1.0,0,1,0,0.6666995441304379,0.6666666666666667
95,Home,W,2.0,0.0,Sheffield Utd,1.1,1.1,72.0,4-3-3-0,16,4,25.0,0.13,0.5,23.1,2.0,0,0,1,0.9888409710170432,0.7916666666666666
96,Home,W,2.0,1.0,Everton,1.5,1.0,65.0,3-4-3-0,16,7,43.8,0.13,0.29,16.0,0.0,0,0,1,0.8999833054397195,0.9888409710170432
97,Away,W,6.0,1.0,Aston Villa,2.8,1.1,70.0,4-3-3-0,22,11,50.0,0.27,0.55,16.1,1.0,0,0,1,0.8569142953384622,0.7916666666666666
98,Home,D,2.0,2.0,Crystal Palace,2.6,0.4,72.0,4-3-3-0,25,6,24.0,0.08,0.33,16.7,1.0,0,0,0,0.5454644989979508,0.7916666666666666
99,Away,W,1.0,0.0,Sheffield Utd,2.8,0.8,66.0,3-4-3-0,17,4,23.5,0.06,0.25,17.3,1.0,0,1,1,0.9888409710170432,0.9888409710170432
100,Away,L,0.0,2.0,Tottenham,2.4,0.3,67.0,4-3-3-0,18,4,22.2,0.0,0.0,15.2,0.0,0,1,0,0.500032663270114,0.7916666666666666
101,Home,W,2.0,0.0,West Ham,2.1,0.1,77.0,4-3-3-0,20,7,35.0,0.1,0.29,15.0,0.0,0,0,1,0.8181793904883048,0.7916666666666666
102,Away,W,1.0,0.0,Leicester City,2.4,0.8,67.0,4-3-3-0,17,6,35.3,0.06,0.17,21.1,2.0,0,1,1,0.8181793904883048,0.7916666666666666
103,Away,L,0.0,2.0,Manchester Utd,0.6,1.6,72.0,4-3-3-0,7,4,57.1,0.0,0.0,16.9,0.0,0,0,0,0.5454644989979508,0.7916666666666666
104,Home,W,3.0,0.0,Arsenal,2.6,0.3,67.0,4-3-3-0,19,11,57.9,0.11,0.18,18.3,2.0,1,1,1,0.9999709659821209,0.7916666666666666
105,Home,W,5.0,0.0,Burnley,2.4,0.0,71.0,4-3-3-0,18,6,33.3,0.22,0.67,19.6,1.0,1,1,1,0.8999833054397195,0.7916666666666666
106,Away,L,1.0,2.0,Chelsea,0.8,3.2,65.0,4-3-3-0,11,2,18.2,0.09,0.5,21.4,1.0,0,0,0,0.7000079843549167,0.7916666666666666
107,Home,W,4.0,0.0,Liverpool,2.4,1.1,47.0,4-2-3-1,13,4,30.8,0.15,0.5,17.5,0.0,1,1,1,0.3636545713377149,0.6666666666666667
108,Away,L,0.0,1.0,Southampton,3.2,0.6,73.0,4-3-3-0,26,6,23.1,0.0,0.0,15.4,1.0,0,0,0,0.7272744266581868,0.7916666666666666
109,Home,W,5.0,0.0,Newcastle Utd,2.8,0.3,73.0,4-3-3-0,23,9,39.1,0.17,0.44,15.9,1.0,0,0,1,0.7272744266581868,0.7916666666666666
110,Away,W,5.0,0.0,Brighton,4.4,0.2,70.0,4-3-3-0,26,8,30.8,0.19,0.63,13.6,1.0,0,0,1,0.9090843543184226,0.7916666666666666
111,Home,W,2.0,1.0,Bournemouth,0.7,1.6,71.0,4-2-3-1,8,4,50.0,0.25,0.5,15.8,1.0,0,0,1,0.9994182063160859,0.6666666666666667
112,Away,W,4.0,0.0,Watford,3.3,0.1,76.0,4-3-3-0,25,9,36.0,0.16,0.44,17.4,1.0,0,1,1,0.9997856350130823,0.7916666666666666
113,Home,W,5.0,0.0,Norwich City,3.2,1.0,73.0,4-3-3-0,31,9,29.0,0.16,0.56,15.3,0.0,0,0,1,0.7506974393114348,0.7916666666666666
114,Away,W,3.0,1.0,Wolves,1.9,0.6,65.0,4-2-3-1,13,8,61.5,0.15,0.25,21.1,2.0,1,1,1,0.6666995441304379,0.6666666666666667
115,Home,L,2.0,5.0,Leicester City,0.9,2.9,72.0,4-2-3-1,16,5,31.3,0.13,0.4,19.8,1.0,0,0,0,0.8181793904883048,0.6666666666666667
116,Away,D,1.0,1.0,Leeds United,1.2,2.4,49.0,4-3-3-0,23,1,4.3,0.04,1.0,18.2,1.0,0,0,0,0.5125539076058264,0.7916666666666666
117,Home,W,1.0,0.0,Arsenal,1.3,0.9,58.0,3-1-4-2,13,5,38.5,0.08,0.2,17.7,0.0,0,0,1,0.9999709659821209,0.6673228285219887
118,Away,D,1.0,1.0,West Ham,1.0,0.3,69.0,4-3-3-0,14,7,50.0,0.07,0.14,20.9,1.0,0,0,0,0.8181793904883048,0.7916666666666666
119,Away,W,1.0,0.0,Sheffield Utd,1.6,0.5,65.0,4-3-3-0,16,8,50.0,0.06,0.13,18.5,2.0,0,0,1,0.9888409710170432,0.7916666666666666
120,Home,D,1.0,1.0,Liverpool,1.4,1.2,54.0,4-2-3-1,6,2,33.3,0.17,0.5,20.6,0.0,0,1,0,0.3636545713377149,0.6666666666666667
121,Away,L,0.0,2.0,Tottenham,1.4,0.7,66.0,4-3-3-0,22,5,22.7,0.0,0.0,16.0,0.0,0,0,0,0.500032663270114,0.7916666666666666
