Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-02-13,17:30 (12:30),Matchweek 24,Sat,Home,W,3,0,Tottenham,2.2,0.3,60,,Raheem Sterling,4-3-3-0,Paul Tierney,Match Report,
2021-02-17,20:15 (15:15),Matchweek 16,Wed,Away,W,3,1,Everton,1,1,71,,Raheem Sterling,4-3-3-0,Andre Marriner,Match Report,
2021-02-21,16:30 (11:30),Matchweek 25,Sun,Away,W,1,0,Arsenal,1.8,0.3,55,,Fernandinho,4-3-3-0,Jonathan Moss,Match Report,
2021-02-27,12:30 (07:30),Matchweek 26,Sat,Home,W,2,1,West Ham,0.5,1.5,63,,Fernandinho,4-3-3-0,Michael Oliver,Match Report,
2021-03-02,20:00 (15:00),Matchweek 29,Tue,Home,W,4,1,Wolves,3.3,0.3,72,,Kevin De Bruyne,4-3-3-0,Chris Kavanagh,Match Report,
2021-03-07,16:30 (11:30),Matchweek 27,Sun,Home,L,0,2,Manchester Utd,1.3,1.7,66,,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,
2021-03-10,18:00 (13:00),Matchweek 33,Wed,Home,W,5,2,Southampton,2.6,1.6,58,,Fernandinho,4-3-3-0,Jonathan Moss,Match Report,
2021-03-13,20:00 (15:00),Matchweek 28,Sat,Away,W,3,0,Fulham,2.2,0.3,54,,Sergio Agüero,3-4-3-0,Andre Marriner,Match Report,
2021-04-03,17:30 (12:30),Matchweek 30,Sat,Away,W,2,0,Leicester City,1.4,0.3,56,,Fernandinho,4-2-3-1,Anthony Taylor,Match Report,
2021-04-10,12:30 (07:30),Matchweek 31,Sat,Home,L,1,2,Leeds United,2.1,0.1,71,,Fernandinho,4-3-3-0,Andre Marriner,Match Report,
2021-04-21,20:15 (15:15),Matchweek 32,Wed,Away,W,2,1,Aston Villa,1.2,0.7,72,,İlkay Gündoğan,4-3-3-0,Peter Bankes,Match Report,
2021-05-01,12:30 (07:30),Matchweek 34,Sat,Away,W,2,0,Crystal Palace,1.7,0.9,68,,Fernandinho,4-4-1-1,David Coote,Match Report,
2021-05-08,17:30 (12:30),Matchweek 35,Sat,Home,L,1,2,Chelsea,1.8,0.7,48,,Raheem Sterling,3-1-4-2,Anthony Taylor,Match Report,
2021-05-14,20:00 (15:00),Matchweek 36,Fri,Away,W,4,3,Newcastle Utd,1.5,2.2,82,,Raheem Sterling,4-3-3-0,Kevin Friend,Match Report,
2021-05-18,19:00 (14:00),Matchweek 37,Tue,Away,L,2,3,Brighton,0.9,1.1,37,7945,İlkay Gündoğan,4-3-3-0,Stuart Attwell,Match Report,
2021-05-23,16:00 (11:00),Matchweek 38,Sun,Home,W,5,0,Everton,2.5,1.1,67,10000,Fernandinho,4-3-3-0,Michael Oliver,Match Report,
2021-08-15,16:30 (11:30),Matchweek 1,Sun,Away,L,0,1,Tottenham,2,1,65,58262,Fernandinho,4-3-3-0,Anthony Taylor,Match Report,
2021-08-21,15:00 (10:00),Matchweek 2,Sat,Home,W,5,0,Norwich City,2.7,0.1,67,51437,İlkay Gündoğan,4-3-3-0,Graham Scott,Match Report,
2021-08-28,12:30 (07:30),Matchweek 3,Sat,Home,W,5,0,Arsenal,4,0.2,80,52276,İlkay Gündoğan,4-3-3-0,Martin Atkinson,Match Report,
2021-09-11,15:00 (10:00),Matchweek 4,Sat,Away,W,1,0,Leicester City,3.3,0.6,61,32087,İlkay Gündoğan,4-3-3-0,Paul Tierney,Match Report,
2021-09-18,15:00 (10:00),Matchweek 5,Sat,Home,D,0,0,Southampton,1.2,0.5,64,52698,Fernandinho,4-3-3-0,Jonathan Moss,Match Report,
2021-09-25,12:30 (07:30),Matchweek 6,Sat,Away,W,1,0,Chelsea,1.4,0.2,59,40036,Rúben Dias,4-3-3-0,Michael Oliver,Match Report,
2021-10-03,16:30 (11:30),Matchweek 7,Sun,Away,D,2,2,Liverpool,1.7,0.8,51,53102,Rúben Dias,4-3-3-0,Paul Tierney,Match Report,
2021-10-16,15:00 (10:00),Matchweek 8,Sat,Home,W,2,0,Burnley,2.2,0.8,70,52711,Kevin De Bruyne,4-3-3-0,Martin Atkinson,Match Report,
2021-10-23,17:30 (12:30),Matchweek 9,Sat,Away,W,4,1,Brighton,4,1.4,52,31215,İlkay Gündoğan,4-3-3-0,Kevin Friend,Match Report,
2021-10-30,15:00 (10:00),Matchweek 10,Sat,Home,L,0,2,Crystal Palace,1.1,0.8,68,53014,Rúben Dias,4-3-3-0,Andre Marriner,Match Report,
