,Confirmed,Deaths,Recovered,Active,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Netherlands,53413,6160,189,47064,11.53,0.35,3259.26,52132,1281,2.46,Europe
New Zealand,1557,22,1514,21,1.41,97.24,1.45,1555,2,0.13,Western Pacific
Nicaragua,3439,108,2492,839,3.14,72.46,4.33,3147,292,9.28,Americas
Niger,1132,69,1027,36,6.1,90.72,6.72,1105,27,2.44,Africa
Nigeria,41180,860,18203,22117,2.09,44.2,4.72,37225,3955,10.62,Africa
North Macedonia,10213,466,5564,4183,4.56,54.48,8.38,9249,964,10.42,Europe
Norway,9132,255,8752,125,2.79,95.84,2.91,9034,98,1.08,Europe
Oman,77058,393,57028,19637,0.51,74.01,0.69,68400,8658,12.66,Eastern Mediterranean
Pakistan,274289,5842,241026,27421,2.13,87.87,2.42,266096,8193,3.08,Eastern Mediterranean
Panama,61442,1322,35086,25034,2.15,57.1,3.77,54426,7016,12.89,Americas
Papua New Guinea,62,0,11,51,0,17.74,0,19,43,226.32,Western Pacific
Paraguay,4548,43,2905,1600,0.95,63.87,1.48,3748,800,21.34,Americas
Peru,389717,18418,272547,98752,4.73,69.93,6.76,357681,32036,8.96,Americas
Philippines,82040,1945,26446,53649,2.37,32.24,7.35,68898,13142,19.07,Western Pacific
Poland,43402,1676,32856,8870,3.86,75.7,5.1,40383,3019,7.48,Europe
Portugal,50299,1719,35375,13205,3.42,70.33,4.86,48771,1528,3.13,Europe
Qatar,109597,165,106328,3104,0.15,97.02,0.16,107037,2560,2.39,Eastern Mediterranean
Romania,45902,2206,25794,17902,4.81,56.19,8.55,38139,7763,20.35,Europe
Russia,816680,13334,602249,201097,1.63,73.74,2.21,776212,40468,5.21,Europe
Rwanda,1879,5,975,899,0.27,51.89,0.51,1629,250,15.35,Africa
Saint Kitts and Nevis,17,0,15,2,0,88.24,0,17,0,0,Americas
Saint Lucia,24,0,22,2,0,91.67,0,23,1,4.35,Americas
Saint Vincent and the Grenadines,52,0,39,13,0,75,0,50,2,4,Americas
San Marino,699,42,657,0,6.01,93.99,6.39,699,0,0,Europe
Sao Tome and Principe,865,14,734,117,1.62,84.86,1.91,746,119,15.95,Africa
Saudi Arabia,268934,2760,222936,43238,1.03,82.9,1.24,253349,15585,6.15,Eastern Mediterranean
Senegal,9764,194,6477,3093,1.99,66.34,3,8948,816,9.12,Africa
